projectId,userId,time,ecg
DIEGO,user_test_013,1665648617.978,-8.678
DIEGO,user_test_013,1665648617.9858124,-8.678
DIEGO,user_test_013,1665648617.993625,-8.678
DIEGO,user_test_013,1665648618.0014374,-8.678
DIEGO,user_test_013,1665648618.00925,-8.678
DIEGO,user_test_013,1665648618.0170624,-8.678
DIEGO,user_test_013,1665648618.024875,-8.678
DIEGO,user_test_013,1665648618.0326874,-8.678
DIEGO,user_test_013,1665648618.0405,-8.678
DIEGO,user_test_013,1665648618.0483124,-8.678
DIEGO,user_test_013,1665648618.056125,-8.678
DIEGO,user_test_013,1665648618.0639374,-8.678
DIEGO,user_test_013,1665648618.07175,-8.678
DIEGO,user_test_013,1665648618.0795624,-8.678
DIEGO,user_test_013,1665648618.087375,-8.678
DIEGO,user_test_013,1665648618.0951874,-3.432
DIEGO,user_test_013,1665648618.103,-3.11
DIEGO,user_test_013,1665648618.1108124,-8.678
DIEGO,user_test_013,1665648618.118625,-8.678
DIEGO,user_test_013,1665648618.1264374,-8.678
DIEGO,user_test_013,1665648618.13425,-8.678
DIEGO,user_test_013,1665648618.1420624,-8.678
DIEGO,user_test_013,1665648618.149875,-8.678
DIEGO,user_test_013,1665648618.1576874,-8.678
DIEGO,user_test_013,1665648618.1655,-8.678
DIEGO,user_test_013,1665648618.1733124,-8.678
DIEGO,user_test_013,1665648618.181125,-8.678
DIEGO,user_test_013,1665648618.1889374,-8.678
DIEGO,user_test_013,1665648618.19675,-8.678
DIEGO,user_test_013,1665648618.2045624,8.678
DIEGO,user_test_013,1665648618.212375,-8.678
DIEGO,user_test_013,1665648618.2201874,-8.678
DIEGO,user_test_013,1665648618.228,-8.678
DIEGO,user_test_013,1665648618.2358124,-8.678
DIEGO,user_test_013,1665648618.243625,-8.678
DIEGO,user_test_013,1665648618.2514374,-8.678
DIEGO,user_test_013,1665648618.25925,-8.678
DIEGO,user_test_013,1665648618.2670624,-8.678
DIEGO,user_test_013,1665648618.274875,-8.678
DIEGO,user_test_013,1665648618.2826874,-8.678
DIEGO,user_test_013,1665648618.2905,-8.678
DIEGO,user_test_013,1665648618.2983124,-8.678
DIEGO,user_test_013,1665648618.306125,-8.678
DIEGO,user_test_013,1665648618.3139374,8.678
DIEGO,user_test_013,1665648618.32175,8.678
DIEGO,user_test_013,1665648618.3295624,8.678
DIEGO,user_test_013,1665648618.337375,8.678
DIEGO,user_test_013,1665648618.3451874,8.678
DIEGO,user_test_013,1665648618.353,8.678
DIEGO,user_test_013,1665648618.3608124,8.678
DIEGO,user_test_013,1665648618.368625,8.678
DIEGO,user_test_013,1665648618.3764374,8.678
DIEGO,user_test_013,1665648618.38425,8.678
DIEGO,user_test_013,1665648618.3920624,-8.678
DIEGO,user_test_013,1665648618.399875,-8.678
DIEGO,user_test_013,1665648618.4076874,-8.678
DIEGO,user_test_013,1665648618.4155,-8.678
DIEGO,user_test_013,1665648618.4233124,-8.678
DIEGO,user_test_013,1665648618.431125,-8.678
DIEGO,user_test_013,1665648618.4389374,-8.678
DIEGO,user_test_013,1665648618.44675,-8.678
DIEGO,user_test_013,1665648618.4545624,-8.678
DIEGO,user_test_013,1665648618.462375,-8.678
DIEGO,user_test_013,1665648618.4701874,-8.678
DIEGO,user_test_013,1665648618.478,-8.678
DIEGO,user_test_013,1665648618.4858124,-8.678
DIEGO,user_test_013,1665648618.493625,8.678
DIEGO,user_test_013,1665648618.5014374,-8.678
DIEGO,user_test_013,1665648618.50925,-8.678
DIEGO,user_test_013,1665648618.5170624,-8.678
DIEGO,user_test_013,1665648618.524875,-8.678
DIEGO,user_test_013,1665648618.5326874,-8.678
DIEGO,user_test_013,1665648618.5405,-8.678
DIEGO,user_test_013,1665648618.5483124,-8.678
DIEGO,user_test_013,1665648618.556125,-8.678
DIEGO,user_test_013,1665648618.5639374,-8.678
DIEGO,user_test_013,1665648618.57175,-8.678
DIEGO,user_test_013,1665648618.5795624,-8.676
DIEGO,user_test_013,1665648618.587375,-8.676
DIEGO,user_test_013,1665648618.5951874,-3.282
DIEGO,user_test_013,1665648618.603,-3.988
DIEGO,user_test_013,1665648618.6108124,-8.676
DIEGO,user_test_013,1665648618.618625,-8.676
DIEGO,user_test_013,1665648618.6264374,-8.678
DIEGO,user_test_013,1665648618.63425,-8.678
DIEGO,user_test_013,1665648618.6420624,-8.678
DIEGO,user_test_013,1665648618.649875,-8.678
DIEGO,user_test_013,1665648618.6576874,-8.678
DIEGO,user_test_013,1665648618.6655,-8.678
DIEGO,user_test_013,1665648618.6733124,-8.678
DIEGO,user_test_013,1665648618.681125,-8.678
DIEGO,user_test_013,1665648618.6889374,-8.678
DIEGO,user_test_013,1665648618.69675,-8.678
DIEGO,user_test_013,1665648618.7045624,8.678
DIEGO,user_test_013,1665648618.712375,-8.678
DIEGO,user_test_013,1665648618.7201874,-8.678
DIEGO,user_test_013,1665648618.728,-8.678
DIEGO,user_test_013,1665648618.7358124,-8.678
DIEGO,user_test_013,1665648618.743625,-8.678
DIEGO,user_test_013,1665648618.7514374,-8.678
DIEGO,user_test_013,1665648618.75925,-8.678
DIEGO,user_test_013,1665648618.7670624,-8.678
DIEGO,user_test_013,1665648618.774875,-8.678
DIEGO,user_test_013,1665648618.7826874,-8.678
DIEGO,user_test_013,1665648618.7905,-8.678
DIEGO,user_test_013,1665648618.7983124,-8.678
DIEGO,user_test_013,1665648618.806125,-8.678
DIEGO,user_test_013,1665648618.8139374,8.678
DIEGO,user_test_013,1665648618.82175,-8.678
DIEGO,user_test_013,1665648618.8295624,-8.678
DIEGO,user_test_013,1665648618.837375,-8.678
DIEGO,user_test_013,1665648618.8451874,-8.678
DIEGO,user_test_013,1665648618.853,-8.678
DIEGO,user_test_013,1665648618.8608124,-8.678
DIEGO,user_test_013,1665648618.868625,-8.678
DIEGO,user_test_013,1665648618.8764374,-8.678
DIEGO,user_test_013,1665648618.88425,-8.678
DIEGO,user_test_013,1665648618.8920624,-8.678
DIEGO,user_test_013,1665648618.899875,-8.675
DIEGO,user_test_013,1665648618.9076874,-8.675
DIEGO,user_test_013,1665648618.9155,-3.678
DIEGO,user_test_013,1665648618.9233124,-3.823
DIEGO,user_test_013,1665648618.931125,-8.675
DIEGO,user_test_013,1665648618.9389374,-8.675
DIEGO,user_test_013,1665648618.94675,-8.678
DIEGO,user_test_013,1665648618.9545624,-8.678
DIEGO,user_test_013,1665648618.962375,-8.678
DIEGO,user_test_013,1665648618.9701874,-8.678
DIEGO,user_test_013,1665648619.978,-8.678
DIEGO,user_test_013,1665648619.9858124,-8.678
DIEGO,user_test_013,1665648619.993625,-8.678
DIEGO,user_test_013,1665648620.0014374,-8.678
DIEGO,user_test_013,1665648620.00925,-8.678
DIEGO,user_test_013,1665648620.0170624,-7.891
DIEGO,user_test_013,1665648620.024875,-8.678
DIEGO,user_test_013,1665648620.0326874,-8.678
DIEGO,user_test_013,1665648620.0405,-8.677
DIEGO,user_test_013,1665648620.0483124,-8.677
DIEGO,user_test_013,1665648620.056125,-5.081
DIEGO,user_test_013,1665648620.0639374,-2.116
DIEGO,user_test_013,1665648620.07175,-8.678
DIEGO,user_test_013,1665648620.0795624,-8.676
DIEGO,user_test_013,1665648620.087375,-8.678
DIEGO,user_test_013,1665648620.0951874,-1.888
DIEGO,user_test_013,1665648620.103,-5.441
DIEGO,user_test_013,1665648620.1108124,-8.676
DIEGO,user_test_013,1665648620.118625,-8.676
DIEGO,user_test_013,1665648620.1264374,-8.678
DIEGO,user_test_013,1665648620.13425,-8.678
DIEGO,user_test_013,1665648620.1420624,-8.265
DIEGO,user_test_013,1665648620.149875,-8.677
DIEGO,user_test_013,1665648620.1576874,-8.677
DIEGO,user_test_013,1665648620.1655,-8.678
DIEGO,user_test_013,1665648620.1733124,-8.678
DIEGO,user_test_013,1665648620.181125,-8.677
DIEGO,user_test_013,1665648620.1889374,-8.677
DIEGO,user_test_013,1665648620.19675,-6.524
DIEGO,user_test_013,1665648620.2045624,-0.814
DIEGO,user_test_013,1665648620.212375,7.517
DIEGO,user_test_013,1665648620.2201874,8.678
DIEGO,user_test_013,1665648620.228,8.678
DIEGO,user_test_013,1665648620.2358124,8.678
DIEGO,user_test_013,1665648620.243625,8.678
DIEGO,user_test_013,1665648620.2514374,8.678
DIEGO,user_test_013,1665648620.25925,8.678
DIEGO,user_test_013,1665648620.2670624,7.178
DIEGO,user_test_013,1665648620.274875,0.335
